#Strand_gene_id	ChrName	Strand	Gene_start	Gene_end	Symbol	Entrez_id
PRDX6-1-1	chr1	+	173477347	173488807	PRDX6	9588
RAB17-2-1	chr2	-	237574322	237591126	RAB17	64284
LINC02423-12-1	chr12	-	118758754	118761679	LINC02423	105370014
FAM66A-8-1	chr8	+	12362019	12411001	FAM66A	100133172
MAPK1IP1L-14-1	chr14	+	55051644	55070194	MAPK1IP1L	93487
MYL12B-18-1	chr18	+	3262113	3278284	MYL12B	103910
KRT36-17-1	chr17	-	41486136	41489864	KRT36	8689
KRT86-12-1	chr12	+	52270507	52309163	KRT86	3892
SLC25A53-23-1	chrX	-	104099214	104157027	SLC25A53	401612
WDR53-3-1	chr3	-	196554177	196568674	WDR53	348793
MIR520F-19-1	chr19	+	53682159	53682245	MIR520F	574464
DLAT-11-1	chr11	+	112024814	112064278	DLAT	1737
TPRG1-AS1-3-1	chr3	-	188941715	188947639	TPRG1-AS1	100874043
TMEM75-8-1	chr8	-	127946559	127948723	TMEM75	641384
RNA5-8SN1-21-1	chr21	+	8439822	8439978	RNA5-8SN1	106632260
ZNF229-19-1	chr19	-	44426251	44448578	ZNF229	7772
PDIA2-16-1	chr16	+	283137	287215	PDIA2	64714
MIR4637-5-1	chr5	-	14825929	14826012	MIR4637	100616271
MIR1973-4-1	chr4	+	116299725	116299768	MIR1973	100302290
SPATA19-11-1	chr11	-	133835930	133845538	SPATA19	219938
GATA1-23-1	chrX	+	48786540	48794311	GATA1	2623
SPTY2D1-11-1	chr11	-	18606401	18634823	SPTY2D1	144108
MIR6502-12-1	chr12	+	66251082	66251157	MIR6502	102465249
SLC18A3-10-1	chr10	+	49610301	49612720	SLC18A3	6572
STPG1-1-1	chr1	-	24356999	24415533	STPG1	90529
RPS8-1-1	chr1	+	44775574	44778740	RPS8	6202
GUCA1C-3-1	chr3	-	108907644	108955195	GUCA1C	9626
LAP3-4-1	chr4	+	17577304	17607967	LAP3	51056
MIR6805-19-1	chr19	+	55388181	55388242	MIR6805	102465483
ADIPOR1-1-1	chr1	-	202940825	202958572	ADIPOR1	51094
WDR65-1-1	chr1	+	43172330	43254358	CFAP57	149465
FBXW7-4-1	chr4	-	152321258	152536873	FBXW7	55294
COX14-12-1	chr12	+	50111981	50120457	COX14	84987
TAF7L-23-1	chrX	-	101268253	101293071	TAF7L	54457
DYNC2H1-11-1	chr11	+	103109431	103479863	DYNC2H1	79659
LOC102724579-2-1	chr2	+	85213652	85218169	LOC102724579	102724579
DDX25-11-1	chr11	+	125903376	125923404	DDX25	29118
SSR4-23-1	chrX	+	153794175	153798512	SSR4	6748
PTPRC-1-1	chr1	+	198638968	198757476	PTPRC	5788
ZASP-7-1	chr7	-	100574035	100574733	ZASP	101927655
PRKAR1B-7-1	chr7	-	549185	727676	PRKAR1B	5575
C19ORF33-19-1	chr19	+	38304161	38305006	C19orf33	64073
CASC14-6-1	chr6	-	22134602	22147193	NBAT1	729177
MIR4488-11-1	chr11	+	61508596	61508657	MIR4488	100616470
PRSS38-1-1	chr1	+	227815708	227846470	PRSS38	339501
CLEC12A-AS1-12-1	chr12	-	9948137	9953337	CLEC12A-AS1	400002
MIR1273C-6-1	chr6	+	154853360	154853436	MIR1273C	100422821
LDHAL6A-11-1	chr11	+	18455827	18479600	LDHAL6A	160287
LOC101928855-17-1	chr17	-	80801640	80805632	LOC101928855	101928855
LOC100506713-17-1	chr17	-	6985123	7012334	ALOX12-AS1	100506713
PINK1-AS-1-1	chr1	-	20642657	20652193	PINK1-AS	100861548
LOC101927020-6-1	chr6	+	49811540	49820503	LOC101927020	101927020
LOC101927950-6-1	chr6	-	5664985	5695272	LOC101927950	101927950
LOC100289673-5-1	chr5	+	109883182	109884903	LINC01848	100289673
SH3BGRL2-6-1	chr6	+	79631105	79703670	SH3BGRL2	83699
IL9-5-1	chr5	-	135892246	135895827	IL9	3578
LOC283693-15-1	chr15	-	82725880	82739780	ACTG1P17	283693
MIR5693-13-1	chr13	-	51348567	51348639	MIR5693	100847003
CCNA1-13-1	chr13	+	36430488	36442882	CCNA1	8900
ANAPC10-4-1	chr4	-	144967117	145098541	ANAPC10	10393
FAM110A-20-1	chr20	+	833697	846279	FAM110A	83541
LOC101927635-23-1	chrX	-	48506526	48508839	LOC101927635	101927635
TP63-3-1	chr3	+	189596746	189897279	TP63	8626
BSPH1-19-1	chr19	-	47967258	47992170	BSPH1	100131137
SH3PXD2A-AS1-10-1	chr10	+	103746779	103755409	SH3PXD2A-AS1	100505839
MIR3679-2-1	chr2	+	134127125	134127192	MIR3679	100500878
KCNMB1-5-1	chr5	-	170378161	170389677	KCNMB1	3779
BTLA-3-1	chr3	-	112463030	112499757	BTLA	151888
STX16-20-1	chr20	+	58651253	58679526	STX16	8675
PIN1-19-1	chr19	+	9835207	9849689	PIN1	5300
MRO-18-1	chr18	-	50795120	50825413	MRO	83876
DOLPP1-9-1	chr9	+	129080988	129090438	DOLPP1	57171
SORCS1-10-1	chr10	-	106573663	107181138	SORCS1	114815
LINC02266-4-1	chr4	-	145335263	145340419	LINC02266	105377466
SPATA13-AS1-13-1	chr13	-	24252749	24254439	SPATA13-AS1	100874231
ADIRF-10-1	chr10	+	86968431	86970909	ADIRF	10974
RPS27-1-1	chr1	+	153990755	153992155	RPS27	6232
HDAC6-23-1	chrX	+	48801377	48824982	HDAC6	10013
GNPDA2-4-1	chr4	-	44701795	44726634	GNPDA2	132789
GRIA3-23-1	chrX	+	123184243	123490915	GRIA3	2892
SUGT1P3-13-1	chr13	-	40911887	40921774	SUGT1P3	283507
MIR504-23-1	chrX	-	138667711	138667793	MIR504	574507
CMBL-5-1	chr5	-	10277595	10308056	CMBL	134147
OXSR1-3-1	chr3	+	38165051	38255488	OXSR1	9943
DSCAM-IT1-21-1	chr21	-	40618507	40630767	DSCAM-IT1	100874326
SNORD97-11-1	chr11	-	10801467	10801608	SNORD97	692223
MIR4785-2-1	chr2	-	160407810	160407882	MIR4785	100616364
SREK1IP1-5-1	chr5	-	64718148	64768839	SREK1IP1	285672
LOC101928994-10-1	chr10	-	69215333	69232490	LOC101928994	101928994
MIR570HG-3-1	chr3	+	195688498	195711875	MIR570HG	440993
LINC01013-6-1	chr6	+	132133978	132169374	LINC01013	100507254
H2AFZ-4-1	chr4	-	99948087	99950355	H2AFZ	3015
CASC9-8-1	chr8	-	75223117	75278889	CASC9	101805492
TAB1-22-1	chr22	+	39399754	39437127	TAB1	10454
LINC01922-18-1	chr18	+	74409448	74413209	LINC01922	101927606
PATZ1-22-1	chr22	-	31325804	31346263	PATZ1	23598
SAC3D1-11-1	chr11	+	65040904	65044833	SAC3D1	29901
RNASEH2B-AS1-13-1	chr13	-	50882378	50910712	RNASEH2B-AS1	100874255
KIAA1755-20-1	chr20	-	38210505	38260772	KIAA1755	85449
LOC613206-9-1	chr9	-	124259210	124261168	LOC613206	613206
TEP1-14-1	chr14	-	20365667	20413540	TEP1	7011
MIR7108-19-1	chr19	-	2434914	2435000	MIR7108	102466806
MMADHC-2-1	chr2	-	149569633	149587816	MMADHC	27249
DEC1-9-1	chr9	+	115141818	115402644	DEC1	50514
RHOG-11-1	chr11	-	3826978	3840983	RHOG	391
TLR7-23-1	chrX	+	12867083	12890361	TLR7	51284
S1PR2-19-1	chr19	-	10221433	10231272	S1PR2	9294
C20ORF78-20-1	chr20	-	18809351	18830203	C20orf78	100128496
OR4D5-11-1	chr11	+	123939617	123940573	OR4D5	219875
MIR3934-6-1	chr6	+	33698128	33698234	MIR3934	100500873
FBXL15-10-1	chr10	+	102419222	102423138	FBXL15	79176
LINC02466-4-1	chr4	-	129724171	129771478	LINC02466	101927282
ADAT2-6-1	chr6	-	143422832	143450750	ADAT2	134637
LAMA1-18-1	chr18	-	6941744	7117814	LAMA1	284217
GUCY2C-12-1	chr12	-	14612632	14696625	GUCY2C	2984
LDB1-10-1	chr10	-	102102100	102120473	LDB1	8861
CPN2-3-1	chr3	-	194339765	194351387	CPN2	1370
NDUFA4-7-1	chr7	-	10931953	10940186	NDUFA4	4697
PCDHB8-5-1	chr5	+	141177790	141180500	PCDHB8	56128
SPZ1-5-1	chr5	+	80319971	80321842	SPZ1	84654
ATRAID-2-1	chr2	+	27212031	27217178	ATRAID	51374
SZT2-AS1-1-1	chr1	-	43447776	43448644	SZT2-AS1	100873952
DNM1P35-15-1	chr15	-	75727670	75740077	DNM1P35	100128285
PRAMEF13-1-1	chr1	-	13196188	13201409	PRAMEF13	400736
CALCB-11-1	chr11	+	15073600	15078631	CALCB	797
CDIPT-AS1-16-1	chr16	+	29863683	29868053	CDIPTOSP	440356
XPO5-6-1	chr6	-	43522330	43576075	XPO5	57510
TBC1D22B-6-1	chr6	+	37257704	37332970	TBC1D22B	55633
MIR3179-3-16-1	chr16	-	18411894	18411977	MIR3179-3	100423006
PMS2P1-7-1	chr7	-	100320640	100336307	PMS2P1	5379
EFNB3-17-1	chr17	+	7705202	7711375	EFNB3	1949
HSPA6-1-1	chr1	+	161524540	161526897	HSPA6	3310
CELSR3-3-1	chr3	-	48636463	48662915	CELSR3	1951
FAIM3-1-1	chr1	-	206903282	206922033	FCMR	9214
NOTCH1-9-1	chr9	-	136494433	136545786	NOTCH1	4851
LIN28A-1-1	chr1	+	26410768	26429728	LIN28A	79727
CUTC-10-1	chr10	+	99732201	99756137	CUTC	51076
FAM186B-12-1	chr12	-	49582875	49605709	FAM186B	84070
HIST1H1C-6-1	chr6	-	26055740	26056471	HIST1H1C	3006
DNAJA4-15-1	chr15	+	78264145	78282196	DNAJA4	55466
KRTAP10-10-21-1	chr21	+	44637356	44638455	KRTAP10-10	353333
OR2T34-1-1	chr1	-	248573801	248574757	OR2T34	127068
TMEM39A-3-1	chr3	-	119428960	119463682	TMEM39A	55254
LINC01327-3-1	chr3	+	167392796	167408519	LINC01327	104310350
LINC01099-4-1	chr4	-	177812046	177907936	LINC01099	101928656
TNFRSF13B-17-1	chr17	-	16939084	16972088	TNFRSF13B	23495
LOC102724555-7-1	chr7	-	123614161	123624957	LOC102724555	102724555
RPL23P8-7-1	chr7	+	20827298	20827820	RPL23P8	222901
MIR3171-14-1	chr14	-	27633205	27633278	MIR3171	100422830
TSFM-12-1	chr12	+	57782745	57802856	TSFM	10102
MIR548AI-6-1	chr6	+	99124609	99124696	MIR548AI	100616347
C1ORF85-1-1	chr1	-	156292687	156295689	GLMP	112770
MORN4-10-1	chr10	-	97614553	97634156	MORN4	118812
HS6ST1-2-1	chr2	-	128265480	128318597	HS6ST1	9394
LEMD3-12-1	chr12	+	65169571	65248361	LEMD3	23592
LOC105372695-20-1	chr20	+	58773425	58774811	LOC105372695	105372695
VIMP-15-1	chr15	-	101270909	101277520	SELENOS	55829
TK1-17-1	chr17	-	78174079	78187204	TK1	7083
TMEM190-19-1	chr19	+	55376126	55378246	TMEM190	147744
LCE3A-1-1	chr1	-	152622834	152623103	LCE3A	353142
TMPRSS11BNL-4-1	chr4	-	68184129	68218080	TMPRSS11BNL	401136
CA2-8-1	chr8	+	85463902	85481492	CA2	760
GAS7-17-1	chr17	-	9910609	10198551	GAS7	8522
ARPC4-3-1	chr3	+	9792495	9807105	ARPC4	10093
LOC101929680-2-1	chr2	+	166081531	166301784	LOC101929680	101929680
SNORA8-11-1	chr11	-	93732361	93732499	SNORA8	654320
LRRC8B-1-1	chr1	+	89522626	89597861	LRRC8B	23507
OR7E2P-11-1	chr11	-	86856931	86857954	OR7E2P	8587
OR4C45-11-1	chr11	+	50032874	50033794	OR4C45	403257
BAZ1B-7-1	chr7	-	73440398	73522285	BAZ1B	9031
KDM5C-23-1	chrX	-	53159735	53225422	KDM5C	8242
DEPTOR-8-1	chr8	+	119873655	120056202	DEPTOR	64798
CYP2F1-19-1	chr19	+	41114292	41128381	CYP2F1	1572
LINC01304-2-1	chr2	-	3957655	3974032	LINC01304	100505964
SLC2A5-1-1	chr1	-	9036946	9072227	SLC2A5	6518
LOC100422212-1-1	chr1	-	163421070	163423191	LOC100422212	100422212
FANCG-9-1	chr9	-	35073838	35080016	FANCG	2189
LINC01812-2-1	chr2	-	67796054	67825562	LINC01812	101927701
SLC17A9-20-1	chr20	+	62952647	62968597	SLC17A9	63910
OR1D4-17-1	chr17	+	3240676	3241614	OR1D4	653166
LOC101929057-6-1	chr6	+	89638532	89689481	LOC101929057	101929057
LOC101927765-1-1	chr1	-	234372807	234373593	LOC101927765	101927765
YTHDF3-AS1-8-1	chr8	-	63167725	63168442	YTHDF3-AS1	101410533
RNF43-17-1	chr17	-	58352500	58418894	RNF43	54894
FBXL3-13-1	chr13	-	76992597	77027196	FBXL3	26224
RANBP17-5-1	chr5	+	170861882	171300015	RANBP17	64901
CSRP2BP-20-1	chr20	+	18142224	18188387	KAT14	57325
ZNF98-19-1	chr19	-	22391097	22422346	ZNF98	148198
LOC283856-16-1	chr16	-	56092987	56191094	LOC283856	283856
NHLRC1-6-1	chr6	-	18120487	18122620	NHLRC1	378884
TPCN2-11-1	chr11	+	69048876	69090604	TPCN2	219931
KLHL40-3-1	chr3	+	42685519	42692446	KLHL40	131377
PSMD1-2-1	chr2	+	231056864	231172827	PSMD1	5707
OR8B4-11-1	chr11	-	124423942	124424871	OR8B4	283162
S100A13-1-1	chr1	-	153618799	153634092	S100A13	6284
LOC101929034-5-1	chr5	-	1855970	1856568	LINC02116	101929034
HSPA5-9-1	chr9	-	125234848	125241387	HSPA5	3309
SAPCD1-6-1	chr6	+	31762996	31764850	SAPCD1	401251
MIR3167-11-1	chr11	-	126988458	126988542	MIR3167	100422918
ZNF615-19-1	chr19	-	51991332	52008230	ZNF615	284370
PPP1R14C-6-1	chr6	+	150143052	150250392	PPP1R14C	81706
DHDH-19-1	chr19	+	48932790	48944969	DHDH	27294
KRT6B-12-1	chr12	-	52446651	52452126	KRT6B	3854
CD276-15-1	chr15	+	73683966	73714518	CD276	80381
ITPK1-14-1	chr14	-	92936914	93115919	ITPK1	3705
NMT2-10-1	chr10	-	15104588	15168710	NMT2	9397
LOC400794-1-1	chr1	-	165476842	165582155	LOC400794	400794
APH1A-1-1	chr1	-	150265399	150282179	APH1A	51107
LOC105372977-22-1	chr22	+	27187516	27189215	LOC105372977	105372977
CCNJL-5-1	chr5	-	160251652	160339592	CCNJL	79616
LINC00844-10-1	chr10	+	58999518	59001617	LINC00844	100507008
TMEM237-2-1	chr2	-	201620184	201643529	TMEM237	65062
SLC25A5-23-1	chrX	+	119468400	119471396	SLC25A5	292
C22ORF24-22-1	chr22	-	31933521	31945362	C22orf24	25775
IER3IP1-18-1	chr18	-	47155019	47176374	IER3IP1	51124
DEAF1-11-1	chr11	-	644220	695754	DEAF1	10522
LOC102725080-8-1	chr8	+	13629690	13632576	LOC102725080	102725080
LOC101929538-11-1	chr11	-	128681240	128686922	LOC101929538	101929538
ADAM11-17-1	chr17	+	44759151	44781846	ADAM11	4185
PRRX2-AS1-9-1	chr9	-	129712894	129718706	PRRX2-AS1	101929437
ATAD5-17-1	chr17	+	30830830	30895869	ATAD5	79915
CDK5RAP3-17-1	chr17	+	47967904	47981786	CDK5RAP3	80279
MIR3147-7-1	chr7	+	57405025	57405090	MIR3147	100422939
SNORD94-2-1	chr2	+	86135870	86136006	SNORD94	692225
RIMKLB-12-1	chr12	+	8681677	8783098	RIMKLB	57494
MIR625-14-1	chr14	+	65471102	65471186	MIR625	693210
PLCB1-IT1-20-1	chr20	+	8248704	8249742	PLCB1-IT1	100874337
LOC441666-10-1	chr10	-	42331866	42368045	LOC441666	441666
ASCL5-1-1	chr1	-	201113953	201115372	ASCL5	647219
DAZAP1-19-1	chr19	+	1407569	1435687	DAZAP1	26528
LINC01533-19-1	chr19	+	32025862	32048899	LINC01533	100996665
TRDN-6-1	chr6	-	123216339	123637093	TRDN	10345
C1ORF189-1-1	chr1	-	154199085	154206365	C1orf189	388701
LINC02546-11-1	chr11	+	29594413	29630676	LINC02546	105376606
FAM138B-2-1	chr2	+	113577382	113578852	FAM138B	654412
ZFP36-19-1	chr19	+	39406847	39409412	ZFP36	7538
ZSCAN21-7-1	chr7	+	100049774	100065041	ZSCAN21	7589
PTGES3-12-1	chr12	-	56663341	56689575	PTGES3	10728
LOC101927078-5-1	chr5	-	114447418	114773413	LOC101927078	101927078
SNORA12-10-1	chr10	-	100237156	100237302	SNORA12	677800
SNORD115-26-15-1	chr15	+	25218617	25218698	SNORD115-26	100033802
LSG1-3-1	chr3	-	194640788	194672477	LSG1	55341
SNORD37-19-1	chr19	-	3982507	3982572	SNORD37	26812
RIOK1-6-1	chr6	+	7389829	7418037	RIOK1	83732
MAN2B1-19-1	chr19	-	12646508	12666777	MAN2B1	4125
TOMM34-20-1	chr20	-	44942130	44960473	TOMM34	10953
SNORA70G-12-1	chr12	-	68627234	68627375	SNORA70G	100379132
TRIM60-4-1	chr4	+	165031953	165041821	TRIM60	166655
F8A2-23-1	chrX	+	155382115	155383230	F8A2	474383
MIR6858-23-1	chrX	+	154450320	154450386	MIR6858	102465517
MIR6781-17-1	chr17	-	42823880	42823943	MIR6781	102465468
ARMS2-10-1	chr10	+	122454653	122457352	ARMS2	387715
LINC01675-1-1	chr1	-	166475772	166490039	LINC01675	105371590
TTC22-1-1	chr1	-	54779696	54802379	TTC22	55001
DHDDS-1-1	chr1	+	26432282	26471306	DHDDS	79947
RNA5S15-1-1	chr1	-	228641566	228641686	RNA5S15	100169766
CD82-11-1	chr11	+	44565591	44620363	CD82	3732
KLHL4-23-1	chrX	+	87517712	87670050	KLHL4	56062
KLRC4-12-1	chr12	-	10407384	10409757	KLRC4	8302
LOC104613533-15-1	chr15	-	92470233	92471546	LOC104613533	104613533
OR13H1-23-1	chrX	+	131544074	131545000	OR13H1	347468
CLMAT3-5-1	chr5	+	151676945	151687910	CLMAT3	101927096
HIST1H2BH-6-1	chr6	+	26251651	26252075	HIST1H2BH	8345
SLC9A4-2-1	chr2	+	102473282	102533974	SLC9A4	389015
PAM-5-1	chr5	+	102754783	103031105	PAM	5066
CDCP1-3-1	chr3	-	45082274	45146422	CDCP1	64866
C7ORF62-7-1	chr7	-	88794106	88797937	TEX47	219557
KRT17-17-1	chr17	-	41619440	41624630	KRT17	3872
LOC100506274-2-1	chr2	+	7421261	7450254	LOC100506274	100506274
LYPLAL1-AS1-1-1	chr1	-	219080973	219173788	LYPLAL1-AS1	643723
SMTNL2-17-1	chr17	+	4583981	4608319	SMTNL2	342527
CALHM2-10-1	chr10	-	103446783	103452405	CALHM2	51063
PGAM2-7-1	chr7	-	44062727	44065587	PGAM2	5224
C18ORF32-18-1	chr18	-	49481178	49487274	C18orf32	497661
ODF2-9-1	chr9	+	128455155	128501292	ODF2	4957
ZNF576-19-1	chr19	+	43596392	43600435	ZNF576	79177
BCL2L15-1-1	chr1	-	113876814	113887547	BCL2L15	440603
CTHRC1-8-1	chr8	+	103371515	103383005	CTHRC1	115908
DNAJC13-3-1	chr3	+	132417660	132539032	DNAJC13	23317
ZC3H4-19-1	chr19	-	47064187	47114437	ZC3H4	23211
DNAH1-3-1	chr3	+	52313010	52400497	DNAH1	25981
MIR3192-20-1	chr20	+	18470615	18470691	MIR3192	100422875
MIR4260-1-1	chr1	-	209623444	209623510	MIR4260	100422894
LPAR5-12-1	chr12	-	6618835	6636131	LPAR5	57121
SLC44A4-6-1	chr6	-	31863192	31879046	SLC44A4	80736
SATB2-AS1-2-1	chr2	+	199468098	199472758	SATB2-AS1	150538
FCGRT-19-1	chr19	+	49512279	49526428	FCGRT	2217
LOC101927045-14-1	chr14	+	24442953	24502197	LOC101927045	101927045
LOC101927914-7-1	chr7	+	157466231	157499716	LOC101927914	101927914
MIR3118-2-15-1	chr15	+	20832795	20832869	MIR3118-2	100422949
SNORA74B-5-1	chr5	+	173020726	173020929	SNORA74B	677841
URM1-9-1	chr9	+	128371319	128392016	URM1	81605
OR1A2-17-1	chr17	+	3197517	3198448	OR1A2	26189
CTSD-11-1	chr11	-	1752752	1763992	CTSD	1509
LPHN1-19-1	chr19	-	14147737	14206245	ADGRL1	22859
MIR2277-5-1	chr5	-	93620696	93620788	MIR2277	100313887
LOC100652736-22-1	chr22	+	19171706	19172832	LINC01311	100652736
ATP6V1G2-6-1	chr6	-	31544451	31546848	ATP6V1G2	534
THAP6-4-1	chr4	+	75513944	75547334	THAP6	152815
TRIP6-7-1	chr7	+	100867328	100873454	TRIP6	7205
LOC642852-21-1	chr21	+	45288052	45297354	LOC642852	642852
ZC3H3-8-1	chr8	-	143437655	143549729	ZC3H3	23144
SNORD115-20-15-1	chr15	+	25206262	25206343	SNORD115-20	100033460
ADARB2-10-1	chr10	-	1177313	1737476	ADARB2	105
RABGAP1-9-1	chr9	+	122931640	123104869	RABGAP1	23637
CCL16-17-1	chr17	-	35976493	35983620	CCL16	6360
CYP26C1-10-1	chr10	+	93061264	93068697	CYP26C1	340665
KRTAP21-3-21-1	chr21	-	30718525	30718777	KRTAP21-3	100288323
CLDN3-7-1	chr7	-	73768997	73770270	CLDN3	1365
LEPROT-1-1	chr1	+	65420448	65436007	LEPROT	54741
PRPF3-1-1	chr1	+	150321468	150353228	PRPF3	9129
IL17F-6-1	chr6	-	52236681	52245689	IL17F	112744
MIPOL1-14-1	chr14	+	37197888	37579207	MIPOL1	145282
MIR3923-3-1	chr3	+	79507887	79507969	MIR3923	100500877
SNORA38-6-1	chr6	+	31623079	31623210	SNORA38	677820
RGP1-9-1	chr9	+	35749280	35753267	RGP1	9827
LRFN2-6-1	chr6	-	40391589	40587464	LRFN2	57497
TMEM213-7-1	chr7	+	138797487	138806759	TMEM213	155006
LOC284930-22-1	chr22	+	47631674	47855600	LOC284930	284930
MIR3688-2-4-1	chr4	+	159128805	159128891	MIR3688-2	100616303
LCN6-9-1	chr9	-	136744017	136748528	LCN6	158062
VAV3-1-1	chr1	-	107571160	107964923	VAV3	10451
FAM183B-7-1	chr7	-	38685346	38687089	FAM183BP	340286
HOXA2-7-1	chr7	-	27100354	27102775	HOXA2	3199
SLC36A1-5-1	chr5	+	151411344	151556318	SLC36A1	206358
MIR182-7-1	chr7	-	129770383	129770492	MIR182	406958
CHST13-3-1	chr3	+	126524288	126543291	CHST13	166012
LGMN-14-1	chr14	-	92703807	92748702	LGMN	5641
TDG-12-1	chr12	+	103965815	103988878	TDG	6996
LRRC59-17-1	chr17	-	50381233	50397553	LRRC59	55379
CCDC137-17-1	chr17	+	81666697	81673907	CCDC137	339230
ADAM17-2-1	chr2	-	9488486	9555820	ADAM17	6868
CSMD3-8-1	chr8	-	112222928	113437499	CSMD3	114788
LRRC10-12-1	chr12	-	69608564	69611162	LRRC10	376132
SNORD47-1-1	chr1	-	173864369	173864445	SNORD47	26802
TPTE2P5-13-1	chr13	-	40796985	40921750	TPTE2P5	100616668
MRGPRG-AS1-11-1	chr11	+	3218332	3223131	MRGPRG-AS1	283303
C14ORF105-14-1	chr14	-	57469300	57493981	CCDC198	55195
NET1-10-1	chr10	+	5412551	5459056	NET1	10276
LOC105377975-6-1	chr6	+	119549808	119845084	LOC105377975	105377975
MIR3161-11-1	chr11	+	48096782	48096858	MIR3161	100423000
ARSF-23-1	chrX	+	3040234	3112729	ARSF	416
LILRB5-19-1	chr19	-	54250405	54257308	LILRB5	10990
SLC25A17-22-1	chr22	-	40769630	40819399	SLC25A17	10478
MIR4732-17-1	chr17	-	28861655	28861730	MIR4732	100616385
NAV2-AS4-11-1	chr11	-	19510893	19524078	NAV2-AS4	399876
MIR4771-1-2-1	chr2	+	87194786	87194859	MIR4771-1	100616370
SOX13-1-1	chr1	+	204073096	204127743	SOX13	9580
PLCL2-3-1	chr3	+	16802691	17090606	PLCL2	23228
C16ORF86-16-1	chr16	+	67666814	67670523	C16orf86	388284
DMRT3-9-1	chr9	+	976968	991732	DMRT3	58524
ZCCHC17-1-1	chr1	+	31296982	31365722	ZCCHC17	51538
LINC01296-14-1	chr14	+	19062377	19107497	LINC01296	642477
TAPSAR1-6-1	chr6	+	32844086	32846500	PSMB8-AS1	100507463
MORC2-AS1-22-1	chr22	+	30922308	30926654	MORC2-AS1	150291
CLDN16-3-1	chr3	+	190387872	190412143	CLDN16	10686
LPPR3-19-1	chr19	-	810966	824244	PLPPR3	79948
STT3A-11-1	chr11	+	125592795	125622759	STT3A	3703
CCR5-3-1	chr3	+	46370142	46376206	CCR5	1234
NBR1-17-1	chr17	+	43170310	43211689	NBR1	4077
ZNF99-19-1	chr19	-	22752183	22784171	ZNF99	7652
FLJ16341-2-1	chr2	-	60847760	60881314	LINC01185	400957
HIST2H4A-1-1	chr1	+	149832657	149833052	HIST2H4A	8370
PBX2-6-1	chr6	-	32184733	32190186	PBX2	5089
UQCRFS1-19-1	chr19	-	29207260	29213229	UQCRFS1	7386
ZSCAN30-18-1	chr18	-	35251058	35290261	ZSCAN30	100101467
C15ORF59-AS1-15-1	chr15	+	73768086	73769802	C15orf59-AS1	101929221
LOC100128714-15-1	chr15	+	25902360	26053120	LINC02346	100128714
ITPA-20-1	chr20	+	3208868	3227449	ITPA	3704
ZNF30-AS1-19-1	chr19	-	34923015	34926826	ZNF30-AS1	102723513
BRD1-22-1	chr22	-	49773278	49827927	BRD1	23774
LBX1-10-1	chr10	-	101226976	101228960	LBX1	10660
SNORD146-3-1	chr3	-	47661565	47661694	SNORD146	109623484
LINC01983-3-1	chr3	-	195836455	195860404	LINC01983	101929697
LOC101928595-16-1	chr16	+	30096430	30105456	LOC101928595	101928595
ECM1-1-1	chr1	+	150508011	150513789	ECM1	1893
MIR548W-16-1	chr16	+	26025237	26025310	MIR548W	100422923
HAGHL-16-1	chr16	+	726936	729746	HAGHL	84264
RPL23AP7-2-1	chr2	-	113611239	113627138	RPL23AP7	118433
SDR16C6P-8-1	chr8	-	56374718	56390710	SDR16C6P	442388
DLGAP4-20-1	chr20	+	36306323	36528637	DLGAP4	22839
SPANXN3-23-1	chrX	-	143508735	143517475	SPANXN3	139067
C17ORF103-17-1	chr17	-	21238870	21253266	NATD1	256302
TRIM24-7-1	chr7	+	138460334	138585588	TRIM24	8805
MIR635-17-1	chr17	-	68424451	68424548	MIR635	693220
NRROS-3-1	chr3	+	196639696	196662004	NRROS	375387
LINC00618-14-1	chr14	+	96943579	96945394	LINC00618	145249
INO80C-18-1	chr18	-	35468327	35497991	INO80C	125476
LRP4-AS1-11-1	chr11	+	46846411	46874416	LRP4-AS1	100507401
PDZD2-5-1	chr5	+	31639388	32110932	PDZD2	23037
LOC101927932-20-1	chr20	-	58863756	58888810	LOC101927932	101927932
GPAT2-2-1	chr2	-	96021946	96035974	GPAT2	150763
LOC100506895-7-1	chr7	-	43508728	43522542	LUARIS	100506895
SLC34A1-5-1	chr5	+	177384431	177412021	SLC34A1	6569
CCDC105-19-1	chr19	+	15010727	15023271	CCDC105	126402
LINC00663-19-1	chr19	-	19756371	19776413	LINC00663	284440
NDUFA6-AS1-22-1	chr22	+	42090933	42125349	NDUFA6-AS1	100132273
LOC647323-3-1	chr3	-	193957372	194003659	LINC02026	647323
PRMT5-14-1	chr14	-	22920511	22929585	PRMT5	10419
FLG2-1-1	chr1	-	152348735	152360028	FLG2	388698
ZBED1-23-1	chrX	-	2486414	2500967	ZBED1	9189
COQ10A-12-1	chr12	+	56266858	56270966	COQ10A	93058
ZNF284-19-1	chr19	+	44072137	44089613	ZNF284	342909
SMPDL3A-6-1	chr6	+	122788456	122809720	SMPDL3A	10924
RPS6KB2-11-1	chr11	+	67428464	67435408	RPS6KB2	6199
GET4-7-1	chr7	+	876554	896434	GET4	51608
LOC284581-1-1	chr1	+	205862079	205896087	LOC284581	284581
SLC25A37-8-1	chr8	+	23528795	23575463	SLC25A37	51312
CBL-11-1	chr11	+	119206276	119308149	CBL	867
GGCX-2-1	chr2	-	85544720	85561534	GGCX	2677
